2024-01-09 02:54:50.1209|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 02:54:50.6738|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-09 02:54:50.8799|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-09 02:54:50.8829|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 02:54:50.8829|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 02:54:50.8829|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
2024-01-09 12:18:47.2087|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-09 12:18:47.7237|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-09 12:18:47.8298|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-09 12:18:47.8321|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-09 12:18:47.8321|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-09 12:18:47.8321|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
