2024-01-08 04:42:25.1560|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 04:42:25.7970|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-08 04:42:25.8215|35|WARN|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {3f674bf3-8b81-4f46-8c11-16d8897c39ea} may be persisted to storage in unencrypted form. |url: |action: 
2024-01-08 04:42:25.9055|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-08 04:42:25.9111|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-08 04:42:25.9111|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-08 04:42:25.9220|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
2024-01-08 04:42:37.2351|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 04:42:37.8491|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-08 04:42:37.9391|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-08 04:42:37.9455|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-08 04:42:37.9534|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-08 04:42:37.9534|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
2024-01-08 04:59:10.6629|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 04:59:11.2415|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-08 04:59:11.3244|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-08 04:59:11.3335|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-08 04:59:11.3335|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-08 04:59:11.3335|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
2024-01-08 04:59:47.1651|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 04:59:47.7508|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-08 04:59:47.8344|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-08 04:59:47.8445|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-08 04:59:47.8445|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-08 04:59:47.8445|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
2024-01-08 05:00:10.9839|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 05:10:59.6524|0|ERROR|StepMaster.Program|init main |url: |action: 
2024-01-08 05:11:19.7545|60|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: 
2024-01-08 05:11:19.7809|35|WARN|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {8ebeafa9-d59d-4703-a9d2-cf1c49931d87} may be persisted to storage in unencrypted form. |url: |action: 
2024-01-08 05:11:19.8707|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: 
2024-01-08 05:11:19.8808|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-01-08 05:11:19.8808|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-01-08 05:11:19.8808|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app |url: |action: 
